run,best,0,1
1,0,image_resize,112.0
1,0,no_of_conv_layers,3.0
1,0,conv1_out_channel,40.0
1,0,learning_rate,0.001
1,0,n_epochs,200.0
1,0,batch_size,24.0
1,2,image_resize,112.0
1,2,no_of_conv_layers,3.0
1,2,conv1_out_channel,40.0
1,2,learning_rate,0.001
1,2,n_epochs,200.0
1,2,batch_size,24.0
1,3,image_resize,112.0
1,3,no_of_conv_layers,3.0
1,3,conv1_out_channel,40.0
1,3,learning_rate,0.001
1,3,n_epochs,200.0
1,3,batch_size,24.0
1,4,image_resize,112.0
1,4,no_of_conv_layers,3.0
1,4,conv1_out_channel,40.0
1,4,learning_rate,0.001
1,4,n_epochs,200.0
1,4,batch_size,24.0
1,5,image_resize,112.0
1,5,no_of_conv_layers,3.0
1,5,conv1_out_channel,40.0
1,5,learning_rate,0.001
1,5,n_epochs,200.0
1,5,batch_size,24.0
